title,genres,length,cast,Derector,Admin,Language,Admin Rating,Language,Timing,Number of shows in a day,First day,Interval Time,Gap Between Shows,Capacity
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,,,,,,,,,,,,,
Jumanji (1995),Adventure|Children|Fantasy,,,,,,,,,,,,,
Grumpier Old Men (1995),Comedy|Romance,,,,,,,,,,,,,
Waiting to Exhale (1995),Comedy|Drama|Romance,,,,,,,,,,,,,
Father of the Bride Part II (1995),Comedy,,,,,,,,,,,,,
Heat (1995),Action|Crime|Thriller,,,,,,,,,,,,,
Sabrina (1995),Comedy|Romance,,,,,,,,,,,,,
Tom and Huck (1995),Adventure|Children,,,,,,,,,,,,,
Sudden Death (1995),Action,,,,,,,,,,,,,
GoldenEye (1995),Action|Adventure|Thriller,,,,,,,,,,,,,
"American President, The (1995)",Comedy|Drama|Romance,,,,,,,,,,,,,
Dracula: Dead and Loving It (1995),Comedy|Horror,,,,,,,,,,,,,
Balto (1995),Adventure|Animation|Children,,,,,,,,,,,,,
Nixon (1995),Drama,,,,,,,,,,,,,
Cutthroat Island (1995),Action|Adventure|Romance,,,,,,,,,,,,,
Casino (1995),Crime|Drama,,,,,,,,,,,,,
Sense and Sensibility (1995),Drama|Romance,,,,,,,,,,,,,
Four Rooms (1995),Comedy,,,,,,,,,,,,,
Ace Ventura: When Nature Calls (1995),Comedy,,,,,,,,,,,,,
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,,,,,,,,,,,,,
Get Shorty (1995),Comedy|Crime|Thriller,,,,,,,,,,,,,
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,,,,,,,,,,,,,
Assassins (1995),Action|Crime|Thriller,,,,,,,,,,,,,
Powder (1995),Drama|Sci-Fi,,,,,,,,,,,,,
Leaving Las Vegas (1995),Drama|Romance,,,,,,,,,,,,,
Othello (1995),Drama,,,,,,,,,,,,,
Now and Then (1995),Children|Drama,,,,,,,,,,,,,
Persuasion (1995),Drama|Romance,,,,,,,,,,,,,
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,,,,,,,,,,,,,
aditya,thriller,180min,Ayush,surya,9.9,Spanish,5,8:00,30,45,50
